key,title,first_author,affiliation,year,arxiv_id,venue,url,category,is_rl,reward_type,credit_granularity,orchestration_form,scenario,is_core,one_liner,verified,notes
halo,HALO: Hierarchical Autonomous Logic-Oriented Orchestration for Multi-Agent LLM Systems,"Hou, Zhipeng",NJUPT,2025,2505.13516,arXiv,https://arxiv.org/abs/2505.13516,rl_method,partial,orchestration,role,hierarchical,general,supporting,Three-layer hierarchical MAS with MCTS-based search,yes,v1 2025-05-17
paramanager,Small Model as Master Orchestrator: Learning Unified Agent-Tool Orchestration with Parallel Subtask Decomposition,"Yuan, Wenzhen",unknown,2026,2604.17009,arXiv,https://arxiv.org/abs/2604.17009,rl_method,yes,orchestration,orchestrator,centralized,general,core,Lightweight orchestrator unifies agent-tool action space,yes,v1 2026-04-18; ParaManager is the orchestrator name
marsrl,MarsRL: Advancing Multi-Agent Reasoning System via Reinforcement Learning with Agentic Pipeline Parallelism,"Liu, Shulin",unknown,2025,2511.11373,arXiv,https://arxiv.org/abs/2511.11373,rl_method,yes,hybrid,turn,hierarchical,math,core,Agentic pipeline-parallel RL for multi-reasoning agents,yes,v1 2025-11-14
malt,MALT: Improving Reasoning with Multi-Agent LLM Training,"Motwani, Sumeet Ramesh",University of Oxford,2024,2412.01928,COLM 2025,https://arxiv.org/abs/2412.01928,rl_method,yes,role,role,planner_executor_critic,math,core,Multi-role generator-verifier-refiner training with role-PRM,yes,v3 2025-10-06
maporl,MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning,"Park, Chanwoo",MIT,2025,2502.18439,ACL 2025,https://arxiv.org/abs/2502.18439,rl_method,yes,shared,agent,centralized,general,core,First post-training RL paradigm explicitly training collaboration,yes,v2 2025-07-12
latentmas,Latent Collaboration in Multi-Agent Systems,"Zou, Jiaru",UIUC,2025,2511.20639,arXiv,https://arxiv.org/abs/2511.20639,rl_method,no,NA,NA,debate,general,supporting,Training-free latent-space MAS communication; +14.6% gain,yes,v2 2025-12-08
mae,Multi-Agent Evolve: LLM Self-Improve through Co-evolution,"Chen, Yixing",UIUC ulab,2025,2510.23595,arXiv,https://arxiv.org/abs/2510.23595,rl_method,yes,verifier,role,planner_executor_critic,general,supporting,Proposer-Solver-Judge tri-role co-evolution self-improvement,yes,v3 2025-10-30
hera,Experience as a Compass: Multi-agent RAG with Evolving Orchestration and Agent Prompts,"Li, Sha",Virginia Tech,2026,2604.00901,arXiv,https://arxiv.org/abs/2604.00901,rl_method,partial,orchestration,orchestrator,centralized,research,supporting,Experience-evolving orchestration policy and agent prompts for MAS-RAG,yes,v2 2026-04-02
tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,"Kavathekar, Ishan",IIIT-Hyderabad / Microsoft,2025,2511.05269,ICML 2025 MAS Workshop,https://arxiv.org/abs/2511.05269,benchmark,no,NA,NA,NA,general,supporting,First adversarial robustness benchmark for MAS,yes,v1 2025-11-07
agentspawn,AgentSpawn: Adaptive Multi-Agent Collaboration Through Dynamic Spawning for Long-Horizon Code Generation,"Costa, Igor",unknown,2026,2602.07072,arXiv,https://arxiv.org/abs/2602.07072,rl_method,partial,orchestration,orchestrator,swarm,coding,supporting,Runtime dynamic spawn + memory transfer for long-horizon code,yes,v1 2026-02-05; sole author
context-folding,Scaling Long-Horizon LLM Agent via Context-Folding,"Sun, Weiwei",ByteDance Seed / CMU,2025,2510.11967,arXiv (ICLR 2026 submitted),https://arxiv.org/abs/2510.11967,rl_method,yes,hybrid,turn,hierarchical,coding,core,Agent-managed context folding for long-horizon trajectories,yes,v1 2025-10-13
survey-mas,A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application,"Chen, Shuaihang",unknown,2024,2412.17481,arXiv,https://arxiv.org/abs/2412.17481,survey,partial,NA,NA,NA,general,core,Survey of LLM-MAS architectures and applications,yes,v2 2025-01-07; with Weinan Zhang/Ting Liu
survey-collab,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,"Tran, Khanh-Tung",UCC Ireland,2025,2501.06322,arXiv,https://arxiv.org/abs/2501.06322,survey,no,NA,NA,NA,general,core,Taxonomy of MAS collaboration mechanisms,yes,v1 2025-01-10; Barry O'Sullivan group
survey-agentic-reasoning,Agentic Reasoning for Large Language Models,"Wei, Tianxin",UIUC,2026,2601.12538,arXiv,https://arxiv.org/abs/2601.12538,survey,partial,NA,NA,NA,general,supporting,Unified roadmap for agentic reasoning bridging thought and action,yes,v1 2026-01-18; 29-author team incl. Heng Ji
survey-rl-meets-llm,Reinforcement Learning Meets Large Language Models: A Survey of Advancements and Applications Across the LLM Lifecycle,"Liu, Keliang",Fudan / Tongji / CUHK MMLab,2025,2509.16679,arXiv,https://arxiv.org/abs/2509.16679,survey,yes,NA,NA,NA,general,supporting,Survey of RL across LLM full lifecycle,yes,v1 2025-09-20
survey-agentic-rl,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,"Zhang, Guibin",unknown,2025,2509.02547,TMLR,https://arxiv.org/abs/2509.02547,survey,yes,NA,NA,NA,general,core,Covers 500+ works on Agentic RL; published in TMLR,yes,v5 2026-04-17; with Philip Torr/Jun Wang
kimi-k2-5,Kimi K2.5: Visual Agentic Intelligence (Tech Report),Kimi Team,Moonshot AI,2026,2602.02276,Tech Report,https://www.kimi.com/blog/kimi-k2-5.html,industry,yes,orchestration,orchestrator,swarm,research,case,Native vision + Agent Swarm + PARL training,yes,arXiv 2602.02276 + tech blog
kimi-k2-6,Kimi K2.6 Tech Blog,Kimi Team,Moonshot AI,2026,,Tech Blog,https://www.kimi.com/blog/kimi-k2-6,industry,yes,orchestration,orchestrator,swarm,coding,case,Long-horizon coding + 300-agent coordination + Claw Groups,yes,blog only; 2026-04-20
openai-codex,Introducing Codex,OpenAI,OpenAI,2025,,Blog Post,https://openai.com/index/introducing-codex/ ; https://openai.com/index/introducing-the-codex-app/,industry,partial,NA,NA,harness,coding,case,Cloud-native parallel software-engineering agent,yes,2025-05-16; RL details undisclosed
claude-code-subagents,Creating Custom Sub-Agents (Claude Code Docs),Anthropic,Anthropic,2025,,Documentation,https://docs.anthropic.com/en/docs/claude-code/sub-agents,industry,no,NA,NA,harness,coding,case,Claude Code built-in and custom sub-agent specification,yes,docs page
anthropic-trustworthy,Our framework for developing safe and trustworthy agents,Anthropic,Anthropic,2025,,Blog Post,https://www.anthropic.com/news/our-framework-for-developing-safe-and-trustworthy-agents,industry,no,NA,NA,NA,general,case,Safe and trustworthy agent development framework,yes,2025-08-04
anthropic-c-compiler,Building a C compiler with a team of parallel Claudes,Anthropic Engineering,Anthropic,2026,,Engineering Blog,https://www.anthropic.com/engineering/building-c-compiler,industry,no,NA,NA,swarm,coding,case,16 parallel Claudes building a C compiler,yes,2026-02-05
dec-pomdp2002,The Complexity of Decentralized Control of Markov Decision Processes,"Bernstein, Daniel S.",University of Massachusetts Amherst,2002,,Mathematics of Operations Research,https://pubsonline.informs.org/doi/10.1287/moor.27.4.819.297,classical_marl,no,NA,NA,NA,general,core,Original Dec-POMDP formalism; proves NEXP-complete complexity,yes,MOR 27(4):819-840; no arXiv; canonical reference for Dec-POMDP
markov-games1994,Markov Games as a Framework for Multi-Agent Reinforcement Learning,"Littman, Michael L.",Brown University,1994,,ICML,https://www.cs.duke.edu/courses/spring07/cps296.3/littman94markov.pdf,classical_marl,yes,individual,agent,NA,general,core,Foundational formulation of stochastic/Markov games for MARL,yes,ICML 1994; no arXiv; seminal reference
maddpg2017,Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,"Lowe, Ryan",McGill / OpenAI,2017,1706.02275,NeurIPS 2017,https://arxiv.org/abs/1706.02275,classical_marl,yes,individual,agent,centralized,general,core,MADDPG; canonical CTDE actor-critic for mixed cooperative-competitive MARL,yes,centralized critic + decentralized actor
vdn2018,Value-Decomposition Networks For Cooperative Multi-Agent Learning,"Sunehag, Peter",DeepMind,2018,1706.05296,AAMAS 2018,https://arxiv.org/abs/1706.05296,classical_marl,yes,shared,agent,centralized,general,core,VDN; additive value decomposition for joint Q from per-agent Qs,yes,arXiv 2017-06; AAMAS 2018 short paper
qmix2018,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,"Rashid, Tabish",University of Oxford,2018,1803.11485,ICML 2018,https://arxiv.org/abs/1803.11485,classical_marl,yes,shared,agent,centralized,general,core,QMIX; monotonic mixing network for value factorisation,yes,workhorse SMAC baseline; Whiteson lab
coma2018,Counterfactual Multi-Agent Policy Gradients,"Foerster, Jakob N.",University of Oxford,2018,1705.08926,AAAI 2018,https://arxiv.org/abs/1705.08926,classical_marl,yes,shared,agent,centralized,general,core,COMA; counterfactual baseline for per-agent credit assignment,yes,Whiteson lab
mappo2022,The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games,"Yu, Chao",Tsinghua University,2022,2103.01955,NeurIPS 2022 D&B,https://arxiv.org/abs/2103.01955,classical_marl,yes,shared,agent,centralized,general,core,MAPPO; PPO with centralized value function for cooperative MARL,yes,NeurIPS 2022 Datasets & Benchmarks Track
ippo2020,Is Independent Learning All You Need in the StarCraft Multi-Agent Challenge?,"de Witt, Christian Schroeder",University of Oxford,2020,2011.09533,arXiv,https://arxiv.org/abs/2011.09533,classical_marl,yes,individual,agent,NA,general,supporting,IPPO; independent PPO competitive with CTDE on SMAC,yes,independent learning baseline
shapley-q2020,Shapley Q-value: A Local Reward Approach to Solve Global Reward Games,"Wang, Jianhong",Imperial College London,2020,1907.05707,AAAI 2020,https://arxiv.org/abs/1907.05707,classical_marl,yes,shared,agent,centralized,general,supporting,Shapley value-based credit assignment in cooperative MARL,yes,predecessor of SHAQ (2105.15013)
difference-rewards2001,Optimal Payoff Functions for Members of Collectives,"Wolpert, David H.",NASA Ames,2001,,Advances in Complex Systems,https://doi.org/10.1142/S0219525901000188,classical_marl,yes,individual,agent,NA,general,supporting,Difference-rewards / Wonderful Life Utility; foundational credit assignment,yes,ACS 4(2/3):265-279; no arXiv
swe-bench2024,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"Jimenez, Carlos E.",Princeton University,2024,2310.06770,ICLR 2024,https://arxiv.org/abs/2310.06770,benchmark,no,NA,NA,NA,coding,core,Benchmark of 2294 real GitHub issues from 12 Python repos,yes,de-facto standard for code-agent evaluation
webarena2024,WebArena: A Realistic Web Environment for Building Autonomous Agents,"Zhou, Shuyan",Carnegie Mellon University,2024,2307.13854,ICLR 2024,https://arxiv.org/abs/2307.13854,benchmark,no,NA,NA,NA,web,core,Self-hostable realistic web environment across e-commerce/forum/gitea/wiki,yes,CMU; 812 long-horizon tasks
gaia2023,GAIA: a benchmark for General AI Assistants,"Mialon, Gr\'{e}goire",Meta AI,2023,2311.12983,arXiv,https://arxiv.org/abs/2311.12983,benchmark,no,NA,NA,NA,general,core,466 real-world questions easy for humans hard for LLMs; tool-use heavy,yes,with Yann LeCun & Thomas Scialom
browsecomp2025,BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,"Wei, Jason",OpenAI,2025,2504.12516,arXiv,https://arxiv.org/abs/2504.12516,benchmark,no,NA,NA,NA,web,core,1266 hard-to-find browsing questions; stress-tests persistent web navigation,yes,OpenAI 2025-04-17
toolbench2023,ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"Qin, Yujia",Tsinghua University / OpenBMB,2023,2307.16789,ICLR 2024 Spotlight,https://arxiv.org/abs/2307.16789,benchmark,no,NA,NA,NA,tool_use,core,ToolBench dataset + ToolLLaMA; 16k+ RapidAPI tools,yes,OpenBMB; ICLR 2024 spotlight
tau-bench2024,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,"Yao, Shunyu",Sierra Research,2024,2406.12045,arXiv,https://arxiv.org/abs/2406.12045,benchmark,no,NA,NA,NA,tool_use,core,Agent-user-tool interaction under domain-specific policies (retail/airline),yes,Sierra; stress-tests multi-turn consistency
osworld2024,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,"Xie, Tianbao",University of Hong Kong,2024,2404.07972,NeurIPS 2024 D&B,https://arxiv.org/abs/2404.07972,benchmark,no,NA,NA,NA,general,core,369 real-computer tasks across Ubuntu/Windows/macOS for multimodal agents,yes,xlang-ai; execution-based eval
multiagentbench2025,MultiAgentBench: Evaluating the Collaboration and Competition of LLM Agents,"Zhu, Kunlun",University of Illinois Urbana-Champaign,2025,2503.01935,ACL 2025,https://arxiv.org/abs/2503.01935,benchmark,no,NA,NA,NA,general,core,Benchmark + MARBLE framework for LLM-MAS collab/competition,yes,ACL 2025 long paper
ppo2017,Proximal Policy Optimization Algorithms,"Schulman, John",OpenAI,2017,1707.06347,arXiv,https://arxiv.org/abs/1707.06347,rl_method,yes,NA,NA,NA,general,core,PPO; clipped surrogate objective; foundation for all LLM-RL methods,yes,cited by essentially every LLM-RL paper
deepseekmath2024,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"Shao, Zhihong",DeepSeek-AI,2024,2402.03300,arXiv,https://arxiv.org/abs/2402.03300,rl_method,yes,NA,NA,NA,math,core,Introduces GRPO (Group Relative Policy Optimization),yes,original source for GRPO
instructgpt2022,Training Language Models to Follow Instructions with Human Feedback,"Ouyang, Long",OpenAI,2022,2203.02155,NeurIPS 2022,https://arxiv.org/abs/2203.02155,rl_method,yes,NA,NA,NA,general,core,InstructGPT; canonical RLHF three-stage pipeline,yes,seminal RLHF reference
deepseek-r12025,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek-AI,DeepSeek-AI,2025,2501.12948,Nature 2025,https://arxiv.org/abs/2501.12948,rl_method,yes,verifier,NA,NA,math,core,Rule-based RL unlocks long-CoT reasoning; R1 & R1-Zero,yes,published in Nature 645:633 (2025-09-17)
react2023,ReAct: Synergizing Reasoning and Acting in Language Models,"Yao, Shunyu",Princeton University,2023,2210.03629,ICLR 2023,https://arxiv.org/abs/2210.03629,rl_method,no,NA,NA,NA,tool_use,core,Interleaved reasoning+acting; agentic origin,yes,de-facto template for tool-use prompting
agentdojo2024,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,"Debenedetti, Edoardo",ETH Zurich (SPY Lab),2024,2406.13352,NeurIPS 2024 D&B,https://arxiv.org/abs/2406.13352,benchmark,no,NA,NA,NA,tool_use,supporting,97 tasks + 629 security cases for prompt-injection eval on tool-using agents,yes,canonical agent prompt-injection benchmark
greshake2023,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,"Greshake, Kai",CISPA / Saarland,2023,2302.12173,ACM AISec 2023,https://arxiv.org/abs/2302.12173,benchmark,no,NA,NA,NA,general,supporting,Foundational paper on indirect prompt injection,yes,defines indirect prompt injection threat model
injecagent2024,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,"Zhan, Qiusi",UIUC (Kang lab),2024,2403.02691,Findings of ACL 2024,https://arxiv.org/abs/2403.02691,benchmark,no,NA,NA,NA,tool_use,supporting,1054 IPI test cases against tool-integrated agents,yes,direct + indirect IPI cases
agents-under-siege2025,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,"Khan, Rana Muhammad Shahroz",UNC / ASU,2025,,ACL 2025,https://aclanthology.org/2025.acl-long.476/,benchmark,no,NA,NA,NA,general,supporting,Permutation-invariant attack on multi-agent topologies under bandwidth/latency constraints,yes,first systematic multi-agent topology attack
tmcht2025,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,"Men, Tianyi",Institute of Automation CAS,2025,2410.16155,ACL 2025,https://arxiv.org/abs/2410.16155,benchmark,no,NA,NA,NA,general,supporting,Contagious jailbreak propagates through shared memory across agent topologies,yes,TMCHT task + ARCJ attack
wasp2025,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,"Evtimov, Ivan",Meta FAIR,2025,2504.18575,arXiv,https://arxiv.org/abs/2504.18575,benchmark,no,NA,NA,NA,web,supporting,End-to-end web-agent prompt-injection benchmark,yes,realistic web tasks; Meta FAIR
artifactsbench2025,ArtifactsBench: Bridging the Visual-Interactive Gap in LLM Code Generation Evaluation,"Zhang, Chenchen",Tencent,2025,2507.04952,arXiv,https://arxiv.org/abs/2507.04952,benchmark,no,verifier,NA,NA,coding,supporting,MLLM-as-Judge with temporal screenshots over 1825 tasks,yes,v2 2025-09-29
codecriticbench2025,CodeCriticBench: A Holistic Code Critique Benchmark for Large Language Models,"Zhang, Alexander",unknown,2025,2502.16614,arXiv,https://arxiv.org/abs/2502.16614,benchmark,no,verifier,NA,NA,coding,supporting,Two-task multi-difficulty critique benchmark with checklists,yes,
criticlean2025,CriticLean: Critic-Guided Reinforcement Learning for Mathematical Formalization,"Peng, Zhongyuan",unknown,2025,2507.06181,arXiv,https://arxiv.org/abs/2507.06181,rl_method,yes,verifier,NA,NA,math,supporting,RL-trained critic scores Lean 4 formalizations; instance of verifier-as-reward,yes,
mtu-bench2025,MTU-Bench: A Multi-granularity Tool-Use Benchmark for Large Language Models,"Wang, Pei",unknown,2025,2410.11710,ICLR 2025,https://arxiv.org/abs/2410.11710,benchmark,no,NA,NA,NA,tool_use,supporting,Five-granularity tool-use benchmark,yes,
rema2025,ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning,"Wan, Ziyu",unknown,2025,,NeurIPS 2025,https://openreview.net/forum?id=ur295YVtmt,rl_method,yes,hybrid,role,hierarchical,math,core,Reinforced meta-thinking agents with high-level meta-thinking and low-level reasoning agents,partial,OpenReview NeurIPS 2025 poster; added during journal-revision coverage audit
collabuiagents2025,Advancing Language Multi-Agent Learning with Credit Re-Assignment for Interactive Environment Generalization,"He, Zhitao",unknown,2025,,COLM 2025,https://openreview.net/forum?id=SoEmgM1ioC,rl_method,yes,process,agent,centralized,web,core,CollabUIAgents uses multi-agent credit re-assignment for interactive UI/web environments,partial,OpenReview COLM 2025; added during journal-revision coverage audit
comas2026,CoMAS: Co-Evolving Multi-Agent Systems via Interaction Rewards,"Xue, Xiangyuan",unknown,2026,,ICLR 2026,https://openreview.net/forum?id=ihwAzktmWc,rl_method,yes,debate,agent,debate,general,core,Co-evolving agents learn from interaction-derived rewards without external supervision,partial,OpenReview ICLR 2026 poster; added during journal-revision coverage audit
owl2025,OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"Hu, Mengkang",unknown,2025,,NeurIPS 2025,https://openreview.net/forum?id=MBJ46gd1CT,rl_method,yes,hybrid,orchestrator,hierarchical,research,core,Optimized Workforce Learning trains a domain-agnostic planner for modular multi-agent assistance,partial,OpenReview NeurIPS 2025 poster; added during journal-revision coverage audit
sirius2025,SiriuS: Self-improving Multi-agent Systems via Bootstrapped Reasoning,"Zhao, Wanjia",unknown,2025,,NeurIPS 2025,https://openreview.net/forum?id=IDSTtDw4Cs,framework,partial,process,turn,hierarchical,general,supporting,Self-improving MAS builds and refines an experience library from successful reasoning trajectories,partial,OpenReview NeurIPS 2025 poster; added during journal-revision coverage audit
multiagent-finetuning2025,Multiagent Finetuning: Self Improvement with Diverse Reasoning Chains,"Subramaniam, Vighnesh",MIT / Harvard / Stanford / UC Berkeley,2025,,ICLR 2025,https://llm-multiagent-ft.github.io/,rl_method,partial,debate,agent,debate,math,supporting,Finetunes a multiagent society using interaction-generated diverse reasoning chains,partial,Project page and arXiv link; added during journal-revision coverage audit
mas-zero2025,MAS-Zero: Designing Multi-Agent Systems with Zero Supervision,"Ke, Zixuan",Salesforce AI Research,2025,2505.14996,arXiv,https://mas-design.github.io/,framework,no,NA,orchestrator,hierarchical,general,supporting,Inference-time self-evolved MAS design through meta-level design feedback and verification,yes,Project page provides BibTeX and arXiv id; added during journal-revision coverage audit
learning-to-deliberate2025,Learning to Deliberate: Meta-policy Collaboration for Agentic LLMs with Multi-agent Reinforcement Learning,"Yang, Wei",unknown,2025,2509.03817,arXiv,https://arxiv.org/abs/2509.03817,rl_method,yes,hybrid,turn,debate,math,core,MPDF learns decentralized meta-cognitive actions Persist Refine Concede with SoftRankPO,yes,arXiv v2 2025-12-08; added during journal-revision coverage audit
